WS_nonfish,Fishery,Atmospheric,Hydrological,F_other,Total_Watershed
2.5930130770614124,17.83475457582078,14.16541306959877,48.29102777453011,17.115791031983004,20.427767652882196
13.704847100355982,19.899023829522815,17.418844366359824,41.04596753157175,7.931317288972333,33.603870929878795
16.794599962775504,14.798132877504916,16.29445003393958,40.0687905606287,12.044026044070723,31.59273284028042
12.624909326516406,16.40470187292781,25.59367262585996,44.41888507131222,0.9578311364782534,29.029611199444215
13.462690373102586,15.951373434652021,18.854065714259157,43.191411146134705,8.540459191429239,29.41406380775461
12.8252135359452,16.050582699749743,10.296620364486527,43.46003931009161,17.36754404262837,28.875796235694942
20.207119676329828,15.975108718430024,15.509851484394865,43.25567899144129,5.052241012211295,36.18222839475985
29.171833430637562,15.650301119504448,11.899290987691952,42.37619995435051,0.9023745049452986,44.82213455014201
15.969755009951774,16.99271848136746,12.283457645062828,43.324276294325315,11.429792369840076,32.96247349131924
10.976773421043116,17.170628539173563,18.3244888758103,46.49277881376226,7.035330325018171,28.14740196021668
15.76926263014674,16.602888648721247,15.39867070196821,44.95551387961446,7.273664310066645,32.37215127886799
25.250236977199716,18.874841420299504,14.081714154513303,29.108069124475634,12.685138157353816,44.12507839749922
17.291852573507462,15.667446810530128,13.381097735366977,42.42262521005081,11.236977348724668,32.95929938403759
43.15032427494226,10.304135570943407,5.873788827174595,35.47226096741166,5.199490359528087,53.454459845885665
60.67821259920321,8.399304048350942,3.2608364238006198,22.7427309616887,4.918915782105756,69.07751664755415
15.99059294120771,13.541422719261046,18.282636811936747,36.66600613215299,15.519341951741513,29.53201566046876
13.545494958405857,8.538597538947599,45.365972569282334,23.119894874688878,9.430039758009183,22.084092497353456
21.380458196097965,15.608901070313664,8.007567134271195,42.264101359618536,12.738971506858855,36.989359266411626
16.557337450937204,18.39028620579438,11.830615304681238,49.79523649568939,3.4265245833709135,34.94762365673158
21.11504242255016,16.581898073212002,13.704359344469879,41.71159860945385,6.887101623300553,37.69694049576216
18.948727607037327,15.021207816504461,10.051426536183513,40.67280885699668,15.305828786576278,33.969935423541784
18.086057558781476,16.640870379307444,12.081824141836297,45.058356719355544,8.132891005396544,34.72692793808892
19.889312197564227,12.9504892782677,17.818321427166502,35.065940199617145,14.275937125394549,32.839801475831926
18.46518379893093,15.306156446365563,16.16042438497366,41.444362070159045,8.623873524141384,33.77134024529649
66.16318465721044,4.844372305319087,11.058376817280143,13.117069626710144,4.816996707202124,71.00755696252952
58.38175307618337,9.512323516111092,5.961167940796268,25.756445212854644,0.38831025405459846,67.89407659229447
51.8035211251774,9.432877555059395,8.496794788439427,25.541329995237746,4.7254765222462165,61.23639868023679
1.627752017587149,16.686340285456467,23.021961691665112,45.18147523446675,13.482470819788624,18.314092303043616
18.62648789566781,14.870757895237421,11.480276232674438,40.20494787401259,14.817529753315794,33.49724579090523
28.31581350292567,13.142381452761697,13.71163245282451,35.585525164400906,9.244647735605412,41.45819495568737
2.150852561286567,21.16383083290085,15.149149853498841,57.3051419475469,4.231024804766832,23.314683394187416
21.279385339117955,4.938116690472272,3.472666927980619,65.2627290081464,5.047102005302116,26.21750202959023
27.22064014655168,16.362234446871433,12.561975179870068,33.002964747105224,10.852185623640773,43.582874593423114
61.32557286294826,8.66836881283738,5.454388783059989,23.47127555475968,1.0803940340877976,69.99394167578565
27.492665390571993,14.344215664269347,11.646260110426333,38.83972241402162,7.6771361260707955,41.83688105484134
9.289106253002702,17.22113791970892,12.971827891763546,46.62954267490415,13.888384603686406,26.510244172711623
20.091930393102132,15.86654334897403,12.822815324310469,42.961717375683534,8.256993348416563,35.958473742076166
23.717660015453973,14.498048873824745,7.9610078946051726,39.256255412202385,14.567028144256296,38.215708889278716
9.86718448398759,18.52389062430383,12.396004903146462,50.156996151961145,9.055924081203802,28.39107510829142
32.12915683085169,13.256235792176716,9.796507965649052,35.893807683432314,8.924291844586831,45.38539262302841
10.803610637521489,12.656554949983741,9.50344064695809,63.95252044194528,3.08387325859783,23.46016558750523
31.886131182794834,13.556143521103373,9.832571630181013,36.705865534064515,8.01928833075082,45.44227470389821
14.670330350823834,18.105405793670208,13.544716460720934,49.023867995168565,4.655679479308744,32.77573614449404
26.515700350508613,11.47387655408297,15.854852017415984,43.1742986047709,2.981272355380926,37.98957690459159
21.6166912089258,16.016361195833397,25.009636753017244,32.18459499903898,5.1727157256892475,37.6330524047592
20.60193768351143,15.658977185768757,20.54079844740453,42.39969207223542,0.7985946397982524,36.260914869280185
3.275168860909359,20.641445162309775,16.303149539786954,55.89068228563879,3.889554242209974,23.916614023219136
18.502669919166138,16.137359775756543,13.763357589795229,43.69500493127927,7.901607997092167,34.64002969492268
11.112035099665038,15.94440571962093,10.973183918537233,59.55920402666708,2.411171217964598,27.056440819285967
18.748985300352963,17.082092644814054,15.286843475325881,46.25305085365036,2.629027788513492,35.83107794516702
17.18788794876235,11.04816402176664,29.509839205175258,29.91502873586044,12.339079991176686,28.23605197052899
21.885129259226773,10.73932236161985,11.853058299680555,50.23010221797009,5.292388097852347,32.62445162084662
21.701955162197024,16.69403190881806,8.62487253605055,45.20230178387661,7.7768384865910685,38.395987071015085
