feature,SHAP,Permutation,RFE,Elasticity,Bootstrap,ANOVA
Lake_area,1.35033939604857,1.6033386384274224,3.01047773426548,1.2141610800899725,2.380671731588203,0.041836192799937014
Shore_dev,2.710532403840459,1.8879955069800594,2.709429960838932,1.195815872062384,2.5885426209829734,0.01089550413933624
Vol_total,1.0930691328385735,1.226461727332763,2.257858300699109,1.913206581661021,2.021235519015353,0.09391683630904973
Res_time,0.7858379416562478,0.9368649961848756,1.806286640559286,0.5593175013271369,1.8146049392443524,0.0007577080564456324
Total_POP_SERVED,2.742760889379121,2.6678183142883793,1.9353071148849506,7.948257913309136,2.2037553759234627,0.5182080160414834
Average_DF,16.455113861059147,16.5277400642641,13.547149804194659,2.7419954767959225,14.90893124811548,17.5382294053145
Primary_Waste_Discharge,0.10463749816413792,0.12985600016125706,1.231559073108604,0.64684373804504,0.2395469230874503,0.05012988545352359
Secondary_Waste_Discharge,7.027785219577765,8.740362670352134,3.870614229769901,8.237950771118289,6.667071112620439,1.6284329970921403
Advanced_Waste_Discharge,13.118088301419679,14.356789010297335,5.418859921677864,7.670297810617926,10.056999883262744,22.420019656178468
RSE_paved,7.002873308274189,6.6864024756247336,3.3867874510486646,3.3324920177990762,6.181457000171398,3.9930644832222106
RSE_gravel,1.0059898207634057,0.5146916215113835,1.354714980419466,0.4014801315032442,1.0800614432569513,0.06877424474215982
RSE_other,11.518529972818223,10.824134766959487,6.773574902097329,0.6804992005541055,10.163830824979634,0.13374225908357962
prec,6.594918547349844,8.026625339485784,9.031433202796439,3.2689232065870426,6.947549003921069,12.931724005827766
emis_tyre_TSP_HEG,0.9414436161926064,1.1454213554959167,1.5052388671327384,4.60544771806555,1.436832738112502,6.173086274631802
emis_brake_TSP_HEG,0.8576242943217454,1.1592658494958965,2.0841768929530238,3.315169003712764,1.4250960038885019,2.8445517375220053
PM2_5,2.2347867320140913,2.440872508906499,4.515716601398218,23.28519927388364,2.457453252376673,4.408286065387198
PM10,2.3189747526179416,2.7059231149826632,2.4631181462172105,20.65460967723799,2.4818894253140336,4.682836729220279
Mismanaged,1.4792893308972381,0.9309534747204078,1.426015768862595,2.1027825558340076,1.0017620768738014,0.34976598414913734
Total_Plast,0.49939982295969443,0.41753397078651405,1.2902047432566337,1.725722777210104,0.736025485563411,1.094206880830756e-05
fish_gdp_sqkm,16.73923966200157,14.383387565623446,27.094299608389317,0.18320446350060887,19.165642617117303,0.1519859045959205
Cultivated_land,2.4567787009220665,1.766209936162967,1.6933937255243323,3.771929988799699,2.6911628877153633,21.49797050752932
Artificial_surface,0.9619867948836837,0.9213510919559676,1.5937823299052536,0.5446932402853514,1.3498778868689116,0.4617746606349341
