term,mean,median,lower,upper,width,mcse_lower,mcse_median,mcse_upper
Mismanaged,2.8571820112373234,2.6599371304522617,0.3108894112547612,7.290795083673444,6.979905672418683,0.003007702392709164,0.006079429726875397,0.05711386087041353
Total_Plast,2.0663720907389567,1.6903632416358965,0.19540684737092112,6.415566766880472,6.220159919509551,0.002960481632101804,0.00835972283498955,0.13568715638710463
Cultivated_land,14.373372754706338,12.29355577645552,1.2387933533642161,41.48545014776368,40.24665679439946,0.05239002038289753,0.0626901469111186,0.6805142117396441
Artificial_surface,3.458195195215188,2.116566263938225,0.16069693148219266,11.820297662732527,11.659600731250334,0.006135483352179511,0.016201834124497008,0.724325635040877
fish_gdp_sqkm,15.16955882847498,15.479785571551067,6.626363907687957,21.8035572606949,15.177193353006945,0.13837011816723785,0.029695736615661546,0.18316137119803236
emis_tyre_TSP_HEG,1.958367849977037,1.7961317583274274,0.4862350253503738,5.673568625182413,5.187333599832039,0.009227096448319599,0.006328563371306693,0.1120673517533167
emis_brake_TSP_HEG,1.4151518477345755,1.2825253346910392,0.46875338874116373,2.8225786319513335,2.35382524321017,0.009694284116293481,0.008147682142750128,0.01689835587346253
PM2_5,4.754960356118835,4.451147412581943,1.2042378603982586,10.700695526123218,9.496457665724959,0.03802435275016262,0.015440977691548603,0.20821059453286025
PM10,4.267289830828458,3.994636057225337,1.080730771806183,9.603228162072186,8.522497390266004,0.03412456080854606,0.013857345202973971,0.18685643752581
Total_POP_SERVED,3.508855070729139,3.5907398016478433,1.3357554365725055,5.117926537670294,3.7821711010977883,0.033849502591290014,0.007925687905986651,0.02984107874181633
Average_DF,15.915795711076285,16.287216195219493,6.058845469508028,23.21437380453843,17.1555283350304,0.1535377658252978,0.035950082587828044,0.13535597893879303
Primary_Waste_Discharge,0.4679302013500899,0.4788500991098812,0.17813226758891654,0.6825110604438227,0.5043787928549062,0.004514066338981435,0.0010569455457491014,0.003979515170246225
Secondary_Waste_Discharge,7.044977177754501,7.209382959384283,2.681890923400074,10.275624079229633,7.593733155829559,0.06796204700025592,0.015912965708235464,0.05991405015539311
Advanced_Waste_Discharge,14.225629647527693,14.557607410175752,5.415430890510827,20.749140679960394,15.333709789449568,0.1372329372146621,0.032132390360889614,0.12098195163574471
