hylak_id,ACR_CR,ACR_EN,ACR_VU,ACR_NT,CNEI_CR,CNEI_EN,CNEI_VU,CNEI_NT,sp_count_CR,sp_count_EN,sp_count_VU,sp_count_NT,exposure_scenario
4697.0,0.0,63.50468402,317.5234201,444.53278814,0.0,63.50468402,63.50468402,63.50468402,0.0,1.0,5.0,7.0,S0_baseline
4900.0,0.0,95.29308634,571.75851804,571.75851804,0.0,95.29308634,95.29308634,95.29308634,0.0,1.0,6.0,6.0,S0_baseline
4902.0,0.0,42.29300336,338.34402688,296.05102352,0.0,42.29300336,48.33486098285714,42.29300336,0.0,1.0,7.0,7.0,S0_baseline
4910.0,0.0,77.90686461,545.34805227,545.34805227,0.0,77.90686461,90.891342045,77.90686461,0.0,1.0,6.0,7.0,S0_baseline
5547.0,0.0,223.5729979,894.2919916,1565.0109853,0.0,223.5729979,223.5729979,223.5729979,0.0,1.0,4.0,7.0,S0_baseline
5555.0,79.79691136,239.39073408,478.78146816,797.9691135999999,79.79691136,79.79691136,95.756293632,88.66323484444443,1.0,3.0,5.0,9.0,S0_baseline
5624.0,0.0,582.8439012,777.1252016,1942.813004,0.0,194.2813004,259.0417338666667,215.8681115555556,0.0,3.0,3.0,9.0,S0_baseline
5628.0,0.0,1203.4082442,1805.1123663,4211.9288547,0.0,601.7041221,601.7041221,601.7041221,0.0,2.0,3.0,7.0,S0_baseline
5638.0,0.0,534.9071754,1069.8143508,1872.1751139,0.0,267.4535877,267.4535877,267.4535877,0.0,2.0,4.0,7.0,S0_baseline
5666.0,0.0,1240.9878093,1240.9878093,2895.6382217,0.0,413.6626031,413.6626031,413.6626031,0.0,3.0,3.0,7.0,S0_baseline
5694.0,0.0,525.710312,1051.420624,1314.2757800000002,0.0,262.855156,262.855156,262.855156,0.0,2.0,4.0,5.0,S0_baseline
5717.0,0.0,247.4776662,494.9553324,618.6941654999999,0.0,123.7388331,123.7388331,123.7388331,0.0,2.0,4.0,5.0,S0_baseline
5724.0,0.0,333.4674698,666.9349396,833.6686745,0.0,166.7337349,166.7337349,166.7337349,0.0,2.0,4.0,5.0,S0_baseline
5747.0,0.0,662.1745144,1324.3490288,1986.5235432,0.0,331.0872572,331.0872572,331.0872572,0.0,2.0,4.0,6.0,S0_baseline
5754.0,0.0,154.17066488,308.34132976,539.59732708,0.0,77.08533244,77.08533244,77.08533244,0.0,2.0,4.0,7.0,S0_baseline
5772.0,0.0,702.5777808,1756.4444520000002,2107.7333424,0.0,351.2888904,351.2888904,351.2888904,0.0,2.0,5.0,6.0,S0_baseline
